male,age,edu,inc,union,lrscale
0,34,4,9,1,3
1,69,3,3,0,7
1,30,6,5,0,7
0,45,3,2,0,4
0,45,7,10,1,2
1,20,4,8,0,2
0,65,2,3,0,5
1,59,5,10,0,7
1,42,6,8,1,3
1,67,7,10,1,3
0,72,3,2,0,8
1,46,5,5,1,1
1,35,5,7,0,5
0,52,4,10,1,6
1,36,2,7,1,7
0,31,5,6,1,3
0,43,7,9,1,4
1,59,7,10,1,7
1,46,5,10,1,7
0,30,6,6,0,8
1,50,4,6,0,2
1,49,3,10,0,7
0,48,6,10,1,4
0,49,6,10,1,3
0,63,3,3,1,1
1,31,7,6,1,6
1,69,5,5,1,3
0,51,6,9,1,5
0,66,6,6,1,3
0,69,6,3,0,5
0,23,4,1,0,1
1,51,6,10,1,8
0,53,6,10,1,7
1,55,2,10,1,7
0,39,2,4,1,3
0,49,7,4,1,3
1,60,6,8,1,10
0,46,5,10,1,8
1,37,3,4,1,5
1,64,3,4,1,5
0,56,7,10,1,3
1,45,3,10,1,9
0,73,5,7,0,3
1,26,2,3,1,0
0,25,6,10,1,7
1,54,3,8,1,2
1,67,1,1,0,5
1,68,2,4,1,5
0,69,1,5,0,9
1,61,3,7,1,7
1,73,1,3,0,5
1,67,3,6,1,10
1,47,3,4,1,8
1,38,3,4,1,6
1,50,2,6,1,7
0,64,6,1,0,4
1,24,2,1,0,2
1,42,6,8,1,5
0,33,6,9,1,5
0,32,7,6,0,1
0,43,6,9,1,4
0,51,6,6,1,5
0,64,3,10,1,2
0,33,7,10,1,6
0,55,1,5,0,3
1,71,2,5,1,8
1,66,5,3,1,5
1,69,3,3,1,7
1,59,3,6,1,3
1,19,2,10,1,8
0,50,6,8,0,7
1,59,2,7,1,5
1,46,2,5,1,3
0,77,3,1,0,4
0,19,4,10,0,4
1,67,3,4,0,5
0,36,4,7,1,6
0,68,6,5,0,5
0,34,6,4,1,4
1,45,6,10,0,7
0,54,6,10,1,5
1,89,6,5,0,5
0,71,2,5,0,5
1,53,7,8,0,5
0,38,6,7,1,4
1,55,6,9,1,8
0,55,5,8,1,7
1,39,3,5,1,7
1,61,3,5,1,8
1,57,3,8,1,5
1,47,5,6,1,5
1,51,5,5,0,6
0,41,6,7,1,2
0,60,7,9,1,3
0,26,6,3,0,4
0,46,3,10,1,8
1,41,6,9,1,5
1,58,7,9,1,9
0,35,3,8,1,7
1,70,1,5,1,8
0,52,6,7,1,8
1,51,3,10,1,5
1,68,6,6,0,8
1,68,5,6,0,5
0,29,4,3,1,8
1,54,3,5,1,5
0,23,2,2,0,5
1,88,1,1,0,7
0,53,3,1,0,6
0,50,7,10,1,5
0,22,6,1,0,5
0,41,6,6,1,8
1,39,7,10,1,8
1,29,5,9,1,1
0,61,2,3,1,5
1,46,6,10,1,7
0,71,1,4,0,2
1,71,3,3,0,10
1,41,6,9,1,1
1,50,7,6,0,7
1,81,3,1,0,2
1,69,3,7,0,5
1,38,6,9,1,2
0,35,3,5,1,8
1,24,6,4,1,8
0,23,2,1,0,2
0,55,3,7,1,6
0,31,7,10,0,6
0,18,2,10,0,8
0,23,4,1,0,0
1,81,3,6,0,4
0,49,6,8,1,6
0,49,5,5,1,8
1,44,3,3,1,5
0,36,6,6,1,2
1,61,3,3,0,4
1,58,2,2,1,6
0,34,7,10,1,6
0,17,2,10,0,3
1,27,7,10,1,4
1,71,6,4,0,6
0,39,6,6,1,5
1,40,6,9,0,7
1,34,2,2,1,5
0,80,6,2,0,5
0,33,5,2,0,2
0,71,1,2,0,1
0,54,6,3,1,3
1,36,6,7,1,3
1,49,2,8,1,7
0,80,6,2,0,1
0,68,3,3,0,4
0,75,6,6,0,8
1,70,7,7,0,4
1,22,4,2,0,5
1,66,5,10,1,6
1,48,3,2,1,8
1,69,1,2,0,0
0,35,6,6,1,2
1,28,4,2,0,7
0,31,5,4,1,8
1,29,2,6,1,7
1,69,5,7,0,8
0,60,2,5,1,4
0,18,2,1,0,2
0,32,7,5,1,1
0,52,6,8,1,2
1,41,6,8,0,7
0,78,1,1,0,10
1,67,6,9,1,3
0,58,5,3,1,9
0,60,6,5,1,5
1,17,2,2,0,2
1,25,2,3,0,5
0,15,1,6,0,6
0,86,1,4,0,7
0,26,6,2,0,0
0,36,7,9,1,9
1,18,2,5,0,9
1,53,5,9,1,8
1,72,1,3,0,8
1,60,3,6,1,7
0,34,6,9,1,5
1,19,4,10,0,7
1,58,2,4,1,5
1,82,1,3,0,2
0,52,7,9,1,7
0,54,6,9,1,1
1,27,6,2,1,7
1,34,7,6,1,4
1,57,2,7,1,7
0,38,3,5,0,8
1,47,4,6,1,3
0,35,2,1,0,1
1,65,7,5,1,3
1,30,6,5,0,5
1,20,4,10,1,9
0,78,6,8,1,2
1,27,6,2,1,8
1,23,4,4,0,7
0,82,3,3,0,5
1,81,6,9,0,8
1,59,3,8,1,1
1,37,3,4,1,7
0,50,7,2,0,8
0,60,3,4,1,8
0,63,3,4,1,6
0,64,2,3,0,3
0,27,6,1,1,5
1,37,5,9,1,3
0,42,6,6,1,2
0,60,6,8,1,4
1,38,4,10,1,7
0,67,5,7,0,5
1,60,3,7,1,3
0,41,3,8,1,8
1,70,3,4,0,8
0,67,3,5,0,10
0,67,3,4,0,3
0,53,2,6,0,3
0,43,6,4,1,2
1,57,6,7,1,5
1,87,6,4,1,5
1,35,7,10,1,6
1,45,3,6,1,6
1,49,2,10,1,8
0,59,6,10,1,5
1,53,3,7,1,5
1,40,5,10,1,3
0,84,6,1,0,8
1,21,3,4,1,8
1,63,7,8,0,4
0,62,2,8,0,4
1,29,3,7,1,7
1,57,2,5,1,6
1,66,7,3,0,7
0,44,6,7,1,5
0,62,3,4,0,3
1,22,6,1,1,7
1,69,7,9,1,6
0,30,4,4,0,7
0,54,2,6,1,9
1,22,2,8,0,1
0,24,3,4,0,8
1,56,5,7,1,8
0,59,7,7,1,2
1,77,5,2,0,10
0,57,3,4,0,4
0,26,6,1,1,7
1,39,7,6,1,4
1,58,1,3,1,10
0,28,6,10,1,5
0,49,6,9,1,2
0,22,4,7,1,4
0,51,5,6,1,8
1,56,7,10,1,3
1,77,3,1,0,6
0,30,7,10,1,6
0,59,1,1,0,5
1,60,1,5,1,7
1,16,2,5,0,5
0,58,6,7,1,2
1,58,3,9,1,10
0,72,1,4,0,5
1,69,3,2,1,3
1,88,6,3,0,10
0,35,5,10,1,8
1,29,6,8,1,4
0,46,7,5,0,2
1,37,3,10,1,2
0,64,7,10,1,3
0,53,3,5,1,5
1,35,3,2,0,2
0,53,6,9,1,3
1,63,2,7,1,10
0,44,2,8,1,2
0,62,2,5,1,5
0,47,6,9,1,5
1,39,7,8,1,7
0,52,2,6,0,6
1,85,2,1,0,5
0,39,7,10,1,5
0,51,5,5,1,3
0,22,1,3,0,7
0,45,3,6,1,5
1,67,1,2,1,8
1,45,3,8,1,4
0,68,1,1,0,7
0,26,6,3,0,4
1,64,2,3,0,10
1,34,7,8,0,9
0,55,5,7,1,3
0,40,6,9,1,3
1,53,3,10,0,7
1,53,5,7,1,3
0,33,3,2,1,8
1,56,2,1,0,2
1,55,7,10,0,7
